Date,Close,High,Low,Open,Volume
1/12/2001,24.02345657,24.26131382,22.64389221,22.64389221,8352762
1/16/2001,25.16516304,25.30787531,24.21373861,24.21373861,6504714
1/17/2001,25.40302086,25.87873237,24.78459412,25.1651651,6341814
1/18/2001,25.21273613,25.45059188,24.40402393,25.40302014,4830309
1/19/2001,24.87973785,25.45059286,24.64188209,25.2127371,5077750
1/22/2001,23.6904583,23.83317205,23.21474529,23.83317205,6229295
1/23/2001,22.8341732,23.78559764,22.7390312,23.69045564,8182869
1/24/2001,23.21474457,23.64288582,22.73903305,22.83417506,8365940
1/25/2001,22.88175011,23.40503344,22.83417836,23.21474792,5866295
1/26/2001,22.69146347,22.78660696,22.31089392,22.78660696,9084947
1/29/2001,23.45830917,23.59531301,22.5068847,22.5068847,5214901
1/30/2001,23.51919746,23.82365451,22.79611621,23.45830753,4832337
1/31/2001,23.17669106,23.53442688,23.08535466,23.51920292,5115560
2/1/2001,23.9758873,24.12811512,23.03207394,23.17669052,5894881
2/2/2001,23.40503502,23.78560461,23.25280718,23.78560461,5300558
2/5/2001,23.16146851,23.44308895,22.68956108,23.40503273,6053827
2/6/2001,24.05961037,24.43256864,23.59531424,23.59531424,9262240
2/7/2001,23.59531212,25.00341993,23.59531212,24.05960821,8180233
2/8/2001,24.45540619,24.73702664,23.65620935,23.65620935,7135530
2/9/2001,24.31839752,24.45540284,23.78560019,24.45540284,4971313
2/12/2001,24.74463463,25.10237189,24.25750623,24.31839765,5408008
2/13/2001,23.9758873,25.04148056,23.82365948,24.74463616,6161683
2/14/2001,23.70948792,24.28795421,23.40503228,23.97588733,5477750
2/15/2001,24.66851807,24.73701924,23.78559633,23.78559633,4727826
2/16/2001,24.36406898,25.09476313,23.78560266,24.66852463,4744045
2/20/2001,23.70948792,24.43257079,23.69426543,24.36406812,4908059
2/21/2001,23.9834919,24.3564501,23.67142363,23.70948131,3858591
2/22/2001,23.59531212,24.12811086,23.29085654,23.98349431,6011252
2/23/2001,23.06251526,23.6105365,22.52971798,23.59531254,5774658
2/26/2001,23.89977455,23.89977455,22.75806439,23.06252004,4354790
2/27/2001,23.40503502,23.68665696,22.91790506,23.68665696,3988951
2/28/2001,23.55725479,23.77798523,23.03206879,23.40502701,3658794
3/1/2001,23.09296799,23.59531896,22.77328983,23.55726274,6341814
3/2/2001,22.82656097,22.9864,21.82946913,22.9864,6720324
3/5/2001,22.47644234,22.83417667,22.30137932,22.82656543,4323467
3/6/2001,22.62867355,22.75806619,22.14915483,22.47644572,7374861
3/7/2001,22.81894875,23.13862679,22.75805734,22.75805734,6147694
3/8/2001,22.72000694,23.11579897,22.64389303,22.81895458,4975672
3/9/2001,22.6210556,22.9635674,22.37748996,22.72000323,3593614
3/12/2001,20.93894386,22.36988587,20.55076301,22.36988587,7217942
3/13/2001,21.32711983,21.44890266,20.48986689,20.93893907,8567055
3/14/2001,20.6192646,21.34995879,20.01796451,21.32712359,6014698
3/15/2001,21.31189919,21.40323558,20.55076009,20.61926275,5260112
3/16/2001,20.94655228,21.3042881,20.59642917,21.3042881,8240953
3/19/2001,21.31951141,21.464128,20.78671402,20.94655309,3868525
3/20/2001,20.48226166,21.48696518,20.27675362,21.31951484,4354384
3/21/2001,20.83998871,21.23578066,20.14735243,20.48225297,7496300
3/22/2001,20.52792549,20.93132876,19.83528909,20.83999236,9117385
3/23/2001,21.17489243,21.30428651,20.20824539,20.52792497,7512519
3/26/2001,21.25100327,21.69246414,20.74104121,21.17488937,5301064
3/27/2001,22.2252655,22.65150398,21.22056221,21.25100719,8221085
3/28/2001,21.58590889,21.70007901,20.92371746,21.70007901,9149316
3/29/2001,21.38801003,21.66963189,20.81715652,21.58590675,3528941
3/30/2001,21.7685833,21.95886881,21.03027791,21.38801374,3837202
4/2/2001,21.28906822,22.05020742,21.22817679,21.76858548,3988748
4/3/2001,20.62687492,21.10639214,20.14735771,21.10639214,7319615
4/4/2001,20.62687492,20.93133058,20.43659088,20.62687492,6380335
4/5/2001,21.37278938,21.53262844,20.68015299,20.68015299,5383984
4/6/2001,21.6848526,21.6848526,20.98460508,21.37278579,4025038
4/9/2001,21.7685833,21.99692503,21.34995752,21.68485814,3349721
4/10/2001,22.26332092,22.56016528,21.81424877,21.81424877,4737253
4/11/2001,21.79141617,22.26332208,21.55546174,22.26332208,4505220
4/12/2001,22.14153862,22.21765252,21.46412475,21.79141555,3113026
4/16/2001,22.19482231,22.56778064,22.00453679,22.14154213,3461733
4/17/2001,22.8341732,22.8341732,21.94364165,22.19481707,5099848
4/18/2001,24.28033638,24.34122631,22.60582936,22.83417102,7604257
4/19/2001,24.26511192,24.35644977,23.75514991,24.28033588,5263457
4/20/2001,23.86932755,24.10528052,23.22236004,24.10528052,5262646
4/23/2001,22.85700607,23.86932034,22.75805699,23.86932034,5707146
4/24/2001,21.75336075,22.82656676,21.75336075,22.82656676,6281196
4/25/2001,23.45070076,23.5496484,21.95886758,21.95886758,9158236
4/26/2001,23.99110985,24.3336217,23.59531634,23.59531634,6729143
